id,Number,Value,Part_of_Speech,Gloss,Notes,Changed
343,343,"cucik’",v,"put; bury"," 
",2013-11-20
344,344,"cucił",v,be.stuck," 
",2007-06-08
345,345,cucix,v,be.buried,"Not in the Dictionary! (Arsen: zaryt'sja)",2014-05-20
346,346,cudi,n3,corpse," 
",2010-08-18
347,347,cugu,n4,barrel," 
",2008-05-06
348,348,"cuƛ-cuƛ",n,jumping,"Not in the Dictionary! Part of speech unclear, Arsen: ""poprygat'""",2014-06-25
349,349,"cuƛer",adv,upward,"Not in the Dictionary!",2009-05-08
350,350,"c’alk’izi",comp,wander," 
",2009-01-15
351,351,"c’ʷant’i",interj,tswanti," 
",2008-10-22
352,352,"c’aq’",adv,"too; very; much"," 
",2009-01-22
353,353,"c’aq’aw",adj,excellent," 
",2010-02-16
354,354,"c’arama",n4,crack,"Dict.: ""c'atlhuri""; (dt. ""Spalt"")",2013-08-04
355,355,"c’araʕ",n3,building.material," 
",2014-02-04
356,356,"c’ec’",n4,eyelash," 
",2010-01-21
357,357,"c’elo-kut’",n3,clew.and.bundle,"Not in the dictionary! (Arsen's translation: 'klubok-snop')  seemingly used to say that something is tidied up and everything is
 arranged in perfect order?
",2014-06-25
358,358,"c’en",v,pinch," 
",2008-06-20
359,359,"c’eruc’a",n4,bow,(weapon),2007-05-29
360,360,"c’ey",v,heat.up,"Not in the Dictionary!",2008-09-18
361,361,"c’i",n4,fire," 
",2007-12-05
362,362,"c’iɣoraqu",n1,blacksmith,"Not in the Dictionary! (Arsen: ""kuznja"" / translation: ""kuznec""); ""c'ighoro"" = smithy, ""-qu"" was a derivational suffix for workers, I
 think...
",2014-06-25
363,363,"C’iɣruk’",n1,Tsighruk,"male name",2009-08-29
364,364,"c’iɣu",n2,shoulder-blade," 
",2007-01-24
365,365,"c’ik’iw",adj,"all; entire","Dict.: ""c'ik'yu""",2009-08-31
366,366,"C’irdux",n1,Tsirdukh,"(male name)",2009-08-07
367,367,"c’iw-li-wit’",interj,tsiwliwit," 
",2012-08-13
368,368,"c’iwni",n4,tweet,"Not in the Dictionary!",2009-11-05
369,369,"c’odoraw",adj,clever," 
",2007-04-09
370,370,"c’odorłi",n4,cleverness," 
",2010-07-19
371,371,"c’ohor",n1,thief," 
",2010-08-11
372,372,"c’ok’i",v,consider,"Dict.: ""c'ok'a"" (c'ok'-) = 'recognize, respect'... is it the same?",2014-06-25
373,373,"c’ok’inad",v,scold,"Intransitive; agent takes ABS, patient takes POSS.LAT",2014-06-25
374,374,"c’ok’ini",n4,scandal,"Not in the Dictionary! Arsen: c'ok'i-ni = bran'-MSD, but c'ok'i is not really in the dictionary with that meaning, etc.
",2014-06-25
375,375,"c’oq’iw",adj,pointed,"Dict.: ""c'oq'iyu""",2009-08-24
376,376,"c’ox",v,"meet; hit; pounce; match; lie","""X[ABS] da3ba boda c'oxno"" = X started to insist; target of 'hit' or 'meet' is marked with CONT.ESS or POSS.ESS
",2014-06-25
377,377,"c’uda",adj,red," 
",2008-10-14
378,378,"c’unt’i",interj,tsunti," 
",2008-10-22
379,379,"c’unzi",comp,guard,"Dict. lacks form ""c'unizi""",2013-08-04
380,380,"c’urun-c’aran",interj,tsurun-tsaran,"part of a story, no real meaning",2013-08-04
381,381,"čˤʷaħ",interj,splash,"Not in the Dictionary! Not sure what it means, Arsen has ""chvax"" while the translation is missing in the translation... perhaps a sound
 sprinkling water?
",2014-06-25
382,382,"čˤaƛi",v,"pour.out; rush; throw"," 
",2009-05-21
383,383,"čˤaƛi-ok’",v,scatter," 
",2013-11-21
384,384,"čˤaƛir",v,spill," 
",2007-06-26
385,385,"čamaligo",pron,several,"Not in the Dictionary! (Russ.: ""neskol'ko"")",2014-05-20
386,386,"čamast’ak’",n4,date,"Dict.: ""chamastak'"" (the fruit)",2013-08-04
387,387,"čan",n3,"she-goat; deer"," 
",2009-11-03
388,388,"čanaqanłi",n4,hunt," 
",2009-10-03
389,389,"čanta",n4,pocket," 
",2010-01-27
390,390,"čara",n3,"ability; possibility","Dict. has class IV for this one (always occurs as n3 in all texts!).",2014-06-25
391,391,"čardaħi",n4,balcony," 
",2009-09-07
392,392,"čarma",n4,turban," 
",2009-11-03
393,393,"čečiw",adj,dense," 
",2009-01-10
394,394,"čerad",v,beg,"Dict.: ""charada""",2007-04-09
395,395,"čeranad",v,beg," 
",2009-06-30
396,396,"-čey",vsuf,INTS,"Intensifier (""usilitel'naya forma"")... comes 4× after the (maybe unmarked) Imperative and 1× after the interrogative pronoun ""shebi""
 and also 1× after a FUT.CVB (""biyranchey"", see
 Father_and_sons.053).
",2014-06-25
397,397,"čiba",n3,bitch,"female dog (nix mit ""they are using bad words"")",2014-05-20
398,398,"-čo",suf,INT,"Intensifier, according to Arsen's glossings",2014-05-20
399,399,"čok",n3,stream,"Dictionary only has ""waterfall"" (vodopad)...",2014-05-20
400,400,"čolow",n4,straw,"Dict.: choloy",2006-10-13
401,401,"čorpa",n4,soup,"(ERG -a; GEN -as; PL -abi). The first -a in the brackets is long.   гьуинав (ригу) чорпа - вкусный суп;  чорпа хIалIа - хлебать (есть)
 суп; чорпа рода - приготовить суп; чорпалъер тамат кура -
 добавить (класть) томат в суп
",2014-06-25
402,402,"čučzi",comp,loosen,"""rok'u chuchzi rodi-"" = calm so. down",2014-05-16
403,403,"čuqˤ",v,"turn.out; notice"," 
",2008-07-31
404,404,"čuqer",v,reveal," 
",2010-03-02
405,405,"čuret’",n3,whip,"Dict.: ""churut'""",2007-03-14
406,406,"č’ač’aƛi",v,squeak,"Translation ""squeak"" (Arsen: pishchat') is missing in the Dictionary!",2014-06-25
407,407,"č’ʷad",n2,ruin," 
",2007-03-05
408,408,"č’ago",adv,alive," 
",2009-01-10
409,409,"č’agu",adv,alive,"Dict.: ""ch'agoyaw""",2008-08-22
410,410,"č’agu-šigo",adv,alive,"Not in the Dictionary! (but see ""ch'ago""; Arsen: ""zhivoj"")",2014-06-25
411,411,"č’aguyaw",adj,living,"Dict.: ""ch'agoyaw""",2009-07-31
412,412,"č’aɣˤir",n4,bowel,"Dict.: ""ch'`aghro"", mok.: ""ch'`agh`ir""",2013-08-04
413,413,"č’alʕizi",comp,"harass; bore"," 
",2012-08-06
414,414,"č’ˤaƛi",v,split," 
",2009-12-14
415,415,"č’ˤaƛił",v,"can.cut; be.cut"," 
",2009-12-03
416,416,"č’aq’ˤi",v,"fall.down; hit","intransitive; target might be marked with GEN2 (not sure, see Hassan.047)
",2014-06-25
417,417,"č’aq’ˤi-aq’ˤi",v,shake,"Not in the Dictionary!",2012-08-28
418,418,"č’aq’ˤir",v,"kill; let.fall",Causative.,2013-11-13
419,419,"č’ari",n,wakeness,"Not in the Dictionary! (inferred from Widow.053)",2014-06-25
420,420,"č’arik’",v,wake.up,transitive!,2006-10-25
421,421,"č’arił",v,wake.up,"(itr.); from one's sleep = ""motlhaxay""",2013-08-04
422,422,"-č’e",suf,INTS,"Intensifier, according to Arsen (Fisherman.025: ""zhek'anch'e""), occurs after INF-FOC or after a postposition plus FOC
 (Mountain-Hero.052: ""xizaynch'e"").
",2014-06-25
423,423,"č’edo",n4,"clay; earth"," 
",2009-02-18
424,424,"č’ekʷa",n4,collective.help,"Dict.: ch'eka",2014-02-04
425,425,"-č’ey",vsuf,"NEG.PST.UNW; NEG.PST.CVB"," 
",2013-12-07
426,426,"č’eze",comp,convinced[?],"Unsure; Arsen glosses ""XYZ zhas rok'u ch'eze roqnosi"" ('boy-GEN1 heart-& *** IV-get-ANTCVB') as: 'boy-ERG heart
 IV-sluchit'sja-SEQ.CVB IV-stat'-PERF.PTCPL' (?!)  Avar loan
 seems to mean 'stop, halt, hesitate' (itr.)  Arsen's translation is 'on
 ubedilsja...' ('he is convinced')
",2014-06-25
427,427,"-č’i",vsuf,"NEG.FUT; NEG.FUT.CVB","lengthens stem vowel! (is sometimes used in non-future events, like Uneyzat.138!)
",2014-06-25
428,428,"č’iħo",n4,fruit,"Dict. doesn't have OBL form in ""ch'ihho(d)yo-"" (what does the -d- there?) or in ""ch'ihhom(e)-""!
",2014-06-25
429,429,"č’ikay",n2,"mirror; glass","Dict.: class III!",2009-09-05
430,430,"č’iki",n3,flea," 
",2009-05-14
431,431,"č’im",n3,edge,"Dict. doesn't have OBL in ""ch'imi-"" (not quite, at least)",2014-06-25
432,432,"č’imu",n3,corner," 
",2007-02-26
433,433,"č’ir",n2,ribbon," 
",2013-12-29
434,434,"č’irin",n,Chirin,"Not in the Dictionary! (part of the last sentence in a story)",2014-06-25
435,435,"č’odi",v,get.tight,"Not in the Dictionary! (Arsen: ""ukrepit'sja"")",2014-05-20
436,436,"č’odir",v,fasten,"Not in the Dictionary!",2009-04-06
437,437,"č’orto",n4,clothes," 
",2009-05-14
438,438,"-č’u",vsuf,NEG.PST.WIT," 
",2010-03-27
439,439,"č’uħaraw",adj,"proud; gorgeous"," 
",2010-07-05
440,440,"č’uħizi",comp,be.proud,"Dict.: ""ch'uhhzi (boqa)""; seemingly it also means ""to be against something""
",2014-06-25
441,441,"č’ur",v,illuminate,"(-xo, -si, -an, -o); buq č’urxo - it shines  ",2014-05-20
442,442,"č’ura",n4,light,"Dict. didn't indicate noun class; but it's IV. Dict. also doesn't have the OBL form.
",2014-06-25
443,443,"č’urqˤo",adv,in.the.morning,"Dict.: ""ch'urqo""",2007-05-29
444,444,"č’ˤurqo",adv,in.the.morning,"Dict.: ""ch'urqo""",2007-04-06
445,445,-d,nsuf,INSTR," 
",2007-06-08
446,446,-d,nsuf,TERM,"Terminative case? Can follow other cases; Arsen calls it ""forma predela dejstvija""!
",2014-06-25
447,447,-da,nsuf,COND,"Arsen: ""conditional meaning"" (only on ""nesi-q-kin-da"" and ""hudu-kin-da"" and ""shebin-kin-da"" and ""elo-da"")  maybe
 ""maybe""? (seems likely)
",2014-06-25
448,448,"dabaɣ",n3,leather," 
",2009-08-25
449,449,"daɣaw",adv,"few; a.bit","""daghaw ichi dääxr"" = to wait a bit for me",2014-05-20
450,450,"-daɣor",nsuf,APUD.VERS,"used also for ""into the fire""",2013-08-04
451,451,"daha-maq’aw",adj,some,"Not in the Dictionary! (Arsen/translation: ""nemnogo"")",2014-06-25
452,452,dahaw,adv,a.little," 
",2006-10-12
453,453,"daheł",v,decrease,itr.,2009-08-02
454,454,dahow,adj,"little; few","German: ""wenig""",2009-02-18
455,455,dalay,excl,dalay,"meaningless singing",2009-06-28
456,456,dandi,adv,"only; now; soon; regularl","Also in the sense of ""just"" (see Mountain-Hero.056).",2014-06-25
457,457,dandir,"adv; post","together; towards","+APUD.ESS (towards ~ against) or +CONT.ESS (towards)",2014-06-25
458,458,dandix,v,gather,"Dict.: ""dandilhizi boqa"" etc.",2013-08-04
459,459,-dar,nsuf,APUD.VERS," 
",2007-04-09
460,460,daram,n3,trade,"Not in the Dictionary! (but there's ""daran-bazar"" with the same meaning; Arsen: ""torgovlja"")
",2014-06-25
461,461,daran-bazar,n4,trade," 
",2014-01-24
462,462,darsi,n3,lesson,"Oblique form in -mo- is not in the Dict.!",2014-05-20
463,463,daru,n3,medicine,"Dict. doesn't have OBL in ""daruya-""",2013-08-04
464,464,dawla,n3,prey,"maybe it means ""reward"" too (see Atid.046)",2014-05-20
465,465,-day,nsuf,APUD.ABL," 
",2007-04-09
466,466,"daʕba",n3,dispute,"""X[ABS] da3ba boda c'oxno"" = X started to insist",2014-06-25
467,467,"daʕba-roži",n4,wrangle," 
",2014-01-21
468,468,"-däɣor",nsuf,APUD.VERS," 
",2006-10-03
469,469,"-däza",-nsuf,APUD.VERS.DIST," 
",2009-12-11
470,470,"-däzay",nsuf,APUD.ABL.DIST," 
",2014-02-13
471,471,-de,nsuf,APUD.ESS,"can also mean ""with"" when followed by ""sadaq"" ('together').",2014-06-25
472,472,"deqƛi",v,knock,"Not in the Dictionary! There is also a causative form (Arabuzan.064), but why and how?!
",2014-06-25
473,473,-der,nsuf,APUD.LAT,"also used for the meaning ""(to break) INTO (two [parts])"", see Oku.056!
",2014-06-25
474,474,di,pron,me," 
",2008-10-07
475,475,dibir,n1,"imam; mullah","Aren't those quite different?",2013-10-09
476,476,dice,pron,"how.much; how.many"," 
",2009-08-31
477,477,didiw,pron,which," 
",2010-05-25
478,478,"didiw-šebi",pron,some.sort.of,"Dict.: ""didiy-shebi""; might mean 'what kind of' (see Testament.091)",2014-06-25
479,479,didur,pron,how,"somehow = ""didur roqlhin, ...""",2013-08-04
480,480,dimbi-dambar,excl,dimbi-dambar,"meaningless singing",2009-06-28
481,481,diwan,n3,judgement," 
",2013-12-29
482,482,diwanbeg,n1,judge,"Not in the Dictionary! (Arsen: sud'ja)",2013-11-20
483,483,doxtur,n1,doctor," 
",2008-10-21
484,484,dunyal,n3,"world; earth","apparently also the material earth!",2013-08-04
485,485,duri,n3,run,"used together with the verb ""-izhi-"" (to take a run)",2014-06-25
486,486,duri-dari,n,trampling,"Not in the Dictionary! (Arsen/translation: ""topot"")",2014-06-25
487,487,"durimoƛ’",adv,running," 
",2007-04-09
488,488,"duʕa",n3,prayer," 
",2013-12-04
489,489,eci,v,"melt; thaw",intr.,2013-09-09
490,490,ecu,v,break,intransitive,2010-08-15
491,491,ecu-ecur,v,break,"Dict.: ""bec-becura""",2014-02-12
492,492,ecur,v,break,transitive,2009-01-25
493,493,"ec’ek’",v,bring.away,"Not in the Dictionary! (Arsen: unesti)",2014-01-16
494,494,"ec’no",adj,new," 
",2008-03-18
495,495,"ečiw",adj,thick,"Not in the dictionary!",2008-06-02
496,496,"ečnad",v,vomit,Intransitive,2008-08-26
497,497,"ečrił",v,get.old," 
",2010-01-14
498,498,"ečru",adj,old,"No agreement!",2007-03-26
499,499,"ečula","n1; n2",grandchild," 
",2010-03-27
500,500,"ečuy","n1; n2","grandchild; grandfather; grandmother","Dict. does not have meaning ""grandfather""!",2014-05-20
501,501,"eč’",v,cut,"Dict.: ""b`ech'a""; also means ""for"" with amounts of time (""lheno minut bech'no"" = 'for 5 minutes')
",2014-06-25
502,502,"eč’er",v,stop,"transitive ('aufhalten')",2009-09-05
503,503,"eč’i",n2,pebble," 
",2010-08-04
504,504,"eč’-t’it’i",v,split,"Not in the Dictionary! (Arsen/translation: ""razrubith'"")",2014-06-25
505,505,"eč’uł",v,flow.out,"Dict.: ""b`ech'ulha"" (without pharyngealization is Asakh dialect)",2014-06-25
506,506,"eč’uri",n4,weeding," 
",2009-02-09
507,507,"edeʕizi",comp,hurry,"Not in the Dictionary! (Arsen: speshat'); used with -oq-.",2014-06-25
508,508,egi,v,"stand.still; loosen; let.go; be.emitted; go.into; break.apart; go.through","intransitive! ""go into"" with AD.VERS.DIST (for instance in Widow.081), ""go through"" with CONT.VERS.DIST
 (Stepdaughter.055); another weird form with IN.ESS.DIST in
 Smith.022; can also mean something like ""entfuhr es ihm"" as a
 speech act verb (with POSS.ESS marking the speaker)
",2014-06-25
509,509,egi,adv,???,"Not in the Dictionary! (Arsen: ""I-mesto"" = 'I-place'), this makes no sense, see Sheikh.017; not even p.o.s. is clear...
",2014-06-25
510,510,"egi-et’u",v,stretch.out,"Dict. only has CAUS form of this! (intransitive)",2014-05-20
511,511,egir,v,"send; let","""send to"" = +SUPER.LAT (see Wise.039) // ""marry off [a girl to a man]"" = +AD.ESS (see Wise.041)
",2014-06-25
512,512,"eɣe",adj,"young; small"," 
",2009-10-06
513,513,"eɣʷe",adj,young,"same as ""eghe""",2009-07-28
514,514,"eɣʷedi",n4,sweat,"Dict.: ""eghedi""",2010-04-17
515,515,"eɣu",v,be.defeated," 
",2013-10-04
516,516,"eɣuł",v,get.fewer,"Not in he Dictionary! (Arsen: umen'shat'sja)",2014-05-20
517,517,"eɣur",v,lose," 
",2006-11-27
518,518,ehe-hey,interj,hey.hey,"Not in the Dictionary!",2010-07-18
519,519,"ek’",v,spin,"No agreement prefix!",2010-03-08
520,520,ela,pron,we(II-IV).OBL,"Form ""elzox"" is not expected (Father_and_son.064)",2014-06-25
521,521,"elar-t’ar",adv,somewhere.IN.LAT,"Dict.: ""elo-t'o""",2007-02-27
522,522,"elay-t’ay",adv,somewhere.IN.ABL,"Dict.: ""elo-t'o""",2007-02-27
523,523,elbo,n3,pigeon," 
",2009-09-30
524,524,ele,adv,"here; there"," 
",2006-11-14
525,525,eleley,excl,behold,"Not in the dictionary!",2007-04-21
526,526,eli,pron,we," 
",2009-07-31
527,527,eli,pron,we.SPEC.GEN1,"Special Genitive (1), used when the possessor is a close group, like a family.
",2014-06-25
528,528,eliz,pron,we.SPEC.GEN2,"oblique special genitive used when referring to a close group, like a family
",2014-06-25
529,529,elo,adv,there,source?,2009-06-13
530,530,"eloš",adv,over.there,"Not in the Dictionary!",2008-08-25
531,531,"eloša",adv,there," 
",2008-06-23
532,532,elu,pron,we(I).OBL," 
",2009-08-26
533,533,"eł",v,beat," 
",2006-09-18
534,534,"ełu",n2,bilberry,"Dictionary doesn't list this oblique form.",2014-05-20
535,535,"eƛi",v,say,"No noun class agreement!; ""X says to Y"" = X-ERG Y-POSS.LAT etlhi-
",2014-06-25
536,536,"eƛi-eƛi",v,say,"Not in the Dictionary! / No agreement!",2014-05-14
537,537,"eƛi-mołi",v,"teach; explain","No agreement!",2010-03-08
538,538,"eƛni",n2,winter," 
",2006-10-11
539,539,"eƛuk’",n4,leather.sack," 
",2009-01-25
540,540,"eƛ’i",adv,last.year," 
",2009-12-01
541,541,emadu,n3,fairy.tale," 
",2009-09-30
542,542,ence,adv,a.little," 
",2006-12-19
543,543,enda,pron,DEM3b.SG,"he; they; that",2009-12-14
544,544,endiw,pron,such.a,"Dict.: ""enduk'a""",2008-10-07
545,545,endu,pron,this," 
",2008-08-22
546,546,endur,adv,that.way," 
",2008-09-18
547,547,eni,n2,mother," 
",2008-10-23
548,548,eni-babiw,n1pl,parents," 
",2012-08-28
549,549,eni-obiw,n1pl,parents,"lit.: mother-father",2009-10-01
550,550,eniw,n2,mother," 
",2006-09-20
551,551,eniw-kid,n2pl,mother.and.daughter,"Not in the Dictionary!",2012-08-13
552,552,"eniwłi",n4,motherhood," 
",2009-03-30
553,553,"eniw-uži",n1pl,mother.and.son,"Not in the Dictionary!",2009-02-09
554,554,"enła",pron,DEM3b.IISG.OBL,"Not in the Dictionary! ABS form = ""enda""",2014-05-20
555,555,"enłu",pron,DEM3b.IISG,"Not in the Dictionary!",2010-07-18
556,556,"ent’a",adv,here,"Dict.: ""ent'ay"" = from here...",2013-10-05
557,557,"ent’o",adv,here,"Not in the dictionary!",2007-06-15
558,558,enza,pron,DEM3b.IIPL.OBL," 
",2010-07-19
559,559,eqer,v,put,"No agreement!",2013-08-04
560,560,er,v,"put; set.up","No agreement!; Dict. says, its causative is ""erir-"", but it's actually ""erer-"" in Ring.005! The target location is usually in an essive case,
 not lative.
",2014-06-25
561,561,esad,v,wash,"No agreement!",2007-07-02
562,562,"esʷał",v,hurry.up," 
",2009-02-22
563,563,esanad,v,"bathe; swim","No agreement!",2013-11-17
564,564,esi,v,tell,"No noun class agreement!  ""rigu raq'`u esi-"" = to beg; -lhäy/-lhay = about...
",2014-06-25
565,565,esi-is,v,tell,"Not in the Dictionary!",2013-09-27
566,566,esir,v,ask,"< esi (tell) -r (CAUS); can also mean ""ask for"" (dir obj); ask so. = POSS.ESS
",2014-06-25
567,567,esirnod,v,beg,"actually the iterative/durative form of ""ask"" (which in turn is the causative of ""speak"")! :)
",2014-06-25
568,568,"esirnok’u",n1,beggar," 
",2009-06-13
569,569,esiw,n2,sister," 
",2012-08-06
570,570,"esnałi",n4,brotherhood,"Check, if it's in the dictionary!",2013-09-11
571,571,esu,v,"find; exist; have; appear","means 'appear/seem to ...' when following a verb!",2014-06-25
572,572,esu-iqir,v,find.and.bring,"Not in the Dictionary!",2012-08-13
573,573,esur,v,find," 
",2009-03-11
574,574,esyu,"n1; n2; n3","brother; sister"," 
",2010-05-02
575,575,"eš",v,fall," 
",2009-05-21
576,576,"ešad",v,bake," 
",2009-12-14
577,577,"ešak’",v,moisten," 
",2007-06-06
578,578,"Ešiƛ’obi",n1pl,Shaytl.people,"people from Shaytl, a Tsez village",2013-08-04
579,579,"ešnad",v,"drip; leak"," 
",2012-08-13
580,580,"ešna-kučir",v,drip,"Dict.: ""beshnakuchira""",2012-08-06
581,581,"ešnod",v,dribble,"Dict.: ""beshnada""",2009-08-26
582,582,"ešu",v,be.located," 
",2009-10-01
583,583,"ešur",v,take.along," 
",2009-06-28
584,584,etali,n1,lover," 
",2009-09-20
585,585,eti,v,"want; love; like","Can follow a verb in the MSD-AD.ESS (""-anix""), and sometimes in the INF(?)
",2014-06-25
586,586,eti,v,disappear," 
",2008-09-24
587,587,eti-eti,v,want,"Not in the Dictionary! (maybe has iterative meaning, see Testament.008; Arsen: ""xotet'"")
",2014-06-25
588,588,etixosi,n1,lover," 
",2012-08-08
589,589,etu,v,set,"(what the sun does)",2007-12-05
590,590,"et’",v,"pour; lay","Translation as 'lay' ('nesti') not in the dictionary; used as example in ""k'enech'"" (egg) though! Target of pouring seems to be in an
 (IN.)ESS case.
",2014-06-25
591,591,"et’i-q’ʷaƛi",v,spread,"Not in the Dictionary! Arsen: ""stelit'""; most likely intransitive (used with CAUS in Handkerchief.031)
",2014-06-25
592,592,"et’ir",v,make.a.bed,"Dict. doesn't offer helpful translation to this! (Translation: ""razostlat'-KAUS"" [spread], Arsen: ""postelit'"")
",2014-06-25
593,593,"et’o",adv,here,"Not in the Dictionary!",2009-06-13
594,594,"et’u",v,"part; stay.behind; come.off; jump","'to jump' = always as ""-et'u-k'otlhi-""; in one sentence this seems to mean ""try to (deny)"" or something: Bilqisdi.087!
",2014-06-25
595,595,"et’u-izi",v,jump.up,"Not in the Dictionary! (Arsen: ""podprygat'"")",2014-05-20
596,596,"et’u-k’oƛi",v,"gallop; hop"," 
",2013-08-04
597,597,"et’ur",v,"pull.out; hack"," 
",2009-02-17
598,598,"et’u-t’it’ir",v,get.rid,"Not in the Dictionary! (Arsen: ""otorvat'"" / translation: ""izbavit'sja""); dir. obj. gets APUD.ABL
",2014-06-25
599,599,"exʷad",v,slaughter," 
",2014-02-09
